,experiment_id,experiment_group,text,tweet_id,tweet_likes,retweets,tweet_created_at,user_id,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,dow,month_day,time,yr,ymd,tweet_id_char,created_at,description,location,followers_count,screen_name,statuses_count,favourites_count,verified,user_id_char,text_length,text_word_count,opinion_key,opinion_label,opinion_key,opinion_label
10,11,msnbc,"@MSNBC Did you just discover who Biden is?

Next up from MSNBC ""hey guys, Biden made student loans non-dischargable  as a favor to banks, can you believe this breaking news????""",1.59723285561646E+18,0,0,Mon Nov 28 14:16:02 +0000 2022,1.59110974115308E+18,1.59706278091747E+18,2836421,MSNBC,Mon,Nov 28,14:16:02,2022,2022-11-28,1.59723285561646E+18,Fri Nov 11 16:45:15 +0000 2022,"@matty@anarchism.space Mastodon

Library Socialist.  Živio Tito, Fully Automated Luxury Gay Space Communism in our lifetime.

https://t.co/5teriCsRgk",,91,librarysoc,1989,7257,FALSE,1.59110974115308E+18,177,31,1,NEUTRAL support,0,Very important
11,12,foxnews,@FoxNews Stop Federal Funding and student loans to attend these schools.,1.59723720848581E+18,0,0,Mon Nov 28 14:33:20 +0000 2022,1.58712603905406E+18,1.5971973859938E+18,1367531,FoxNews,Mon,Nov 28,14:33:20,2022,2022-11-28,1.59723720848581E+18,Mon Oct 31 16:55:59 +0000 2022,,,4,RdRadiii,19,162,FALSE,1.58712603905406E+18,72,11,2,AGAINST student loan forgiveness,1,Somewhat important
12,13,foxnews,"@FoxNews He's having issues isn't he. He can't pass a ban on pew pews, he can't do student loan forgiveness (kind of intentional btw,) he can't pass gas because his heads in the way of natural progression in his bum.

He just can't catch a break man. 😪",1.59725522614658E+18,0,0,Mon Nov 28 15:44:56 +0000 2022,1.54991675311482E+18,1.59723644172095E+18,1367531,FoxNews,Mon,Nov 28,15:44:56,2022,2022-11-28,1.59725522614658E+18,Thu Jul 21 00:40:02 +0000 2022,"Mom of 4, Army wife for life, AF and Army Mom, and a VA caregiver. Pure Blood. Gamer. Lover of freedom.",Podunk Missery,35,FrenchVanessa3,1045,169,FALSE,1.54991675311482E+18,252,53,0,FOR student loan forgiveness,0,Very important
13,14,cnn,@CNN Let's see how much they believe in the Constitution after the courts declare the Student Loan Forgiveness unconstitutional.,1.5972687489266E+18,0,0,Mon Nov 28 16:38:40 +0000 2022,301552174.0,1.59720996553796E+18,759251,CNN,Mon,Nov 28,16:38:40,2022,2022-11-28,1.5972687489266E+18,Thu May 19 17:21:19 +0000 2011,"People should not be afraid of their governments, governments should be afraid of their people.

Resist/Tyranny",Sniffing your hair,1174,DC_Rob,28399,61996,FALSE,301552174.0,128,20,1,NEUTRAL support,0,Very important
14,15,msnbc,"@MSNBC And it won’t be the last! Biden has proven he will do anything to stay in power; lied he had congressional approval for student loan forgiveness, lying his son Beau died in Iraq, lied he graduated at the top of his class, etc. just a pathetic patsy &amp; liar!",1.5972773623535E+18,0,1,Mon Nov 28 17:12:53 +0000 2022,8.8806167515646E+17,1.59706278091747E+18,2836421,MSNBC,Mon,Nov 28,17:12:53,2022,2022-11-28,1.5972773623535E+18,Thu Jul 20 15:42:57 +0000 2017,,Florida,7,VicRioli,2154,10,FALSE,8.8806167515646E+17,267,51,2,AGAINST student loan forgiveness,1,Somewhat important
15,16,foxnews,@FoxNews Will this also be covered by the 'student debt forgiveness'?,1.59728101078981E+18,0,0,Mon Nov 28 17:27:23 +0000 2022,9.61630265385931E+17,1.59695580123048E+18,1367531,FoxNews,Mon,Nov 28,17:27:23,2022,2022-11-28,1.59728101078981E+18,Thu Feb 08 15:58:16 +0000 2018,"✝️Classic liberal that can see thru the BS of the extreme left, and right.",the world,114,Nitrojunky54,29337,33253,FALSE,9.61630265385931E+17,69,11,3,cannot judge support,1,Somewhat important
16,17,foxnews,@FoxNews This makes no sense...Ukrainian oligarchs can't vote in US elections...maybe they have outstanding student loans....,1.59737027463827E+18,0,0,Mon Nov 28 23:22:05 +0000 2022,1.57854788749516E+18,1.59717851061076E+18,1367531,FoxNews,Mon,Nov 28,23:22:05,2022,2022-11-28,1.59737027463827E+18,Sat Oct 08 00:48:53 +0000 2022,,,56,OldsargeThe,142,1073,FALSE,1.57854788749516E+18,125,19,0,FOR student loan forgiveness,1,Somewhat important
17,18,cnn,"@CNN What?????? You mean you can’t write some kind of executive order to fix this?  Just like you can forgive student loans?  Yes Joe, congress has to power but you do not!",1.59738456034995E+18,5,0,Tue Nov 29 00:18:51 +0000 2022,74697061.0,1.59738362355189E+18,759251,CNN,Tue,Nov 29,00:18:51,2022,2022-11-29,1.59738456034995E+18,Wed Sep 16 10:06:59 +0000 2009,"20 year Navy veteran. I love our flag and our country. #Bidensucks, #bluelivesmatter, #IllinoisDemocraticpartyblows, #LetsGoBrandon",Illinois,295,grizman1825,17002,11374,FALSE,74697061.0,172,33,1,NEUTRAL support,1,Somewhat important
18,19,cnn,@CNN Just like the student loan BS..remember before the election China Joe said because of his negotiations there will be no l rail strike. How long will CNN allow China Joe and his administration to spread their BS?,1.5973854735548E+18,3,1,Tue Nov 29 00:22:29 +0000 2022,1.59151644410534E+18,1.59738362355189E+18,759251,CNN,Tue,Nov 29,00:22:29,2022,2022-11-29,1.5973854735548E+18,Sat Nov 12 19:41:33 +0000 2022,,,2,JohnHen69685395,48,0,FALSE,1.59151644410534E+18,216,39,0,FOR student loan forgiveness,1,Somewhat important
19,20,foxnews,@FoxNews Biden will use this to keep the pandemic going in the US so it justifies him giving student loan relief..,1.59747350242434E+18,0,0,Tue Nov 29 06:12:17 +0000 2022,407966949.0,1.59733327773581E+18,1367531,FoxNews,Tue,Nov 29,06:12:17,2022,2022-11-29,1.59747350242434E+18,Tue Nov 08 20:06:26 +0000 2011,Musician / Singer /Song Writer performing your favorite dance music.,Port Charlotte Fl,16,frankamedeo,133,16,FALSE,407966949.0,114,21,2,AGAINST student loan forgiveness,0,Very important
20,21,msnbc,@MSNBC MSNBC as usual ignores that the whole Biden Student debt forgiveness WAS for votes to divert attention from  all other failed policies.,1.59756861347686E+18,4,0,Tue Nov 29 12:30:13 +0000 2022,9.25517532504773E+17,1.59756127960195E+18,2836421,MSNBC,Tue,Nov 29,12:30:13,2022,2022-11-29,1.59756861347686E+18,Wed Nov 01 00:19:09 +0000 2017,,"New York, USA",5,PaulPisano56,1648,1169,FALSE,9.25517532504773E+17,142,23,3,cannot judge support,1,Somewhat important
21,22,msnbc,"@MSNBC President Biden lied to the gullible people, who actually thought they were going to receive student loan forgiveness. 😂",1.59756865987808E+18,2,1,Tue Nov 29 12:30:24 +0000 2022,9.72848161604678E+17,1.59756127960195E+18,2836421,MSNBC,Tue,Nov 29,12:30:24,2022,2022-11-29,1.59756865987808E+18,Sun Mar 11 14:54:11 +0000 2018,"Blocked by Jon Cooper, Peter Strzok, Donna Brazile, Jeffrey Guterman, Bob Cesca, Philippe Reines, Peter Rojas, Rebekah Jones",,870,ProudUSANJNY,45369,50426,FALSE,9.72848161604678E+17,127,19,3,cannot judge support,0,Very important
22,23,msnbc,@MSNBC I don’t care about who dines with Trump.  I care that my health ins premium is going up next year but my coverage stays the same.  I care about my student loan relief being blocked by Republicans.  I’m so tired of your obsession with this man.  He’s not worth it.  Move on.,1.59756947170277E+18,0,0,Tue Nov 29 12:33:38 +0000 2022,8.9168523790993E+17,,2836421,MSNBC,Tue,Nov 29,12:33:38,2022,2022-11-29,1.59756947170277E+18,Sun Jul 30 15:41:42 +0000 2017,,,11,EdnaSparrow1,646,897,FALSE,8.9168523790993E+17,280,56,1,NEUTRAL support,0,Very important
23,24,msnbc,@MSNBC Republicans are not afraid to say they are against student loan bribes. It is irresponsible and unconstitutional.,1.5975754278616E+18,1,0,Tue Nov 29 12:57:18 +0000 2022,1.51905969218976E+18,1.59756127960195E+18,2836421,MSNBC,Tue,Nov 29,12:57:18,2022,2022-11-29,1.5975754278616E+18,Tue Apr 26 21:04:13 +0000 2022,,,35,Susan41364994,3182,4120,FALSE,1.51905969218976E+18,120,18,0,FOR student loan forgiveness,1,Somewhat important
24,25,foxnews,@FoxNews that's why they can't pay back their student loan,1.59757564812159E+18,0,0,Tue Nov 29 12:58:10 +0000 2022,1.14055013288407E+18,1.59754090705791E+18,1367531,FoxNews,Tue,Nov 29,12:58:10,2022,2022-11-29,1.59757564812159E+18,Mon Jun 17 09:21:56 +0000 2019,,,12,thomaslew13,6530,0,FALSE,1.14055013288407E+18,58,12,0,FOR student loan forgiveness,0,Very important
25,26,foxnews,@FoxNews Before the election he promised student loan forgiveness and averting the rail road strike. Looking like neither will happen. Reviewing all his non-accomplishments I can see why there are so many post here naming him the worst president ever.,1.59759877227166E+18,3,0,Tue Nov 29 14:30:03 +0000 2022,1.58672484751794E+18,1.5973836224992E+18,1367531,FoxNews,Tue,Nov 29,14:30:03,2022,2022-11-29,1.59759877227166E+18,Sun Oct 30 14:21:38 +0000 2022,Retired,Florida,41,larryanglin9,616,2680,FALSE,1.58672484751794E+18,251,41,1,NEUTRAL support,1,Somewhat important
26,27,foxnews,"@FoxNews You mean like someone saying their son died in Iraq. My wife was killed by a drunk driver, the student loan payments will resume on Jan st it is time to start repaying.",1.59762954711322E+18,0,0,Tue Nov 29 16:32:21 +0000 2022,1.46981240395315E+18,1.59754341662324E+18,1367531,FoxNews,Tue,Nov 29,16:32:21,2022,2022-11-29,1.59762954711322E+18,Sat Dec 11 23:33:22 +0000 2021,,,3,NiddrieRichard,255,88,FALSE,1.46981240395315E+18,177,34,1,NEUTRAL support,1,Somewhat important
27,28,nytimes,@nytimes We know that joementia is a liar isn't that right student loan forgiveness people yay let's go Brandon,1.59766549741976E+18,0,0,Tue Nov 29 18:55:12 +0000 2022,1.59547025460767E+18,1.59765413084737E+18,807095,nytimes,Tue,Nov 29,18:55:12,2022,2022-11-29,1.59766549741976E+18,Wed Nov 23 17:32:21 +0000 2022,,,2,jackSpa81774793,243,5,FALSE,1.59547025460767E+18,111,21,2,AGAINST student loan forgiveness,0,Very important
28,29,foxnews,@FoxNews Eff Biden and his unconstitutional student loan handout. Biden just wants to create a generation of grifters like he and his corrupt family are. Whoever signed for the loan pays the loan!!!,1.59767629052959E+18,0,0,Tue Nov 29 19:38:05 +0000 2022,1.5863825563955E+18,1.5976755369308E+18,1367531,FoxNews,Tue,Nov 29,19:38:05,2022,2022-11-29,1.59767629052959E+18,Sat Oct 29 15:41:09 +0000 2022,,,6,jgh_57,549,416,FALSE,1.5863825563955E+18,198,33,1,NEUTRAL support,0,Very important
29,30,foxnews,"@FoxNews Since educations/schools have turned into money machines for decades.

Those student loans,
would be better to be written off by the universities, colleges, or business schools?

Regardless,
It shouldn’t be paid by taxpayers.",1.59767811014069E+18,1,1,Tue Nov 29 19:45:19 +0000 2022,1.15751641402811E+18,1.5976755369308E+18,1367531,FoxNews,Tue,Nov 29,19:45:19,2022,2022-11-29,1.59767811014069E+18,Sat Aug 03 04:59:53 +0000 2019,"Chemical Engineer. music lover, marathon champion, professional yoga player. A good woman-:)","Palo Alto, California, USA",72,AnnaRL_Bian,3710,2774,FALSE,1.15751641402811E+18,234,36,0,FOR student loan forgiveness,0,Very important
30,31,usedgov,@usedgov Wait times for customer service @MOHELA are currently 4 HOURS. This organization does not have the capacity to provide federal student loan service.  Please investigate.,1.59768806028388E+18,1,0,Tue Nov 29 20:24:51 +0000 2022,67606504.0,1.5951579805297E+18,20437286,usedgov,Tue,Nov 29,20:24:51,2022,2022-11-29,1.59768806028388E+18,Fri Aug 21 13:28:53 +0000 2009,"Nature lover, hiker, policy wonk, food nerd, New Yorker.","Hudson Valley, NY",236,sarah_brannen,372,55,FALSE,67606504.0,178,26,1,NEUTRAL support,0,Very important
31,32,foxnews,@FoxNews they should work part time to pay off their student loan instead of bludging on the taxpayers,1.59776209032407E+18,0,0,Wed Nov 30 01:19:01 +0000 2022,1.14055013288407E+18,1.5977069910524E+18,1367531,FoxNews,Wed,Nov 30,01:19:01,2022,2022-11-30,1.59776209032407E+18,Mon Jun 17 09:21:56 +0000 2019,,,12,thomaslew13,6530,0,FALSE,1.14055013288407E+18,102,18,1,NEUTRAL support,2,Not important at all
32,33,msnbc,@MSNBC @MaddowBlog Kind of like telling 92 million Americans who have student loans they don't have to pay them back! DUH!,1.59776323647605E+18,0,0,Wed Nov 30 01:23:35 +0000 2022,3052882033.0,1.59775739409594E+18,2836421,MSNBC,Wed,Nov 30,01:23:35,2022,2022-11-30,1.59776323647605E+18,Sun Mar 01 15:36:47 +0000 2015,Responsible Independent,"Alabama, USA",124,Gone2morrowCS,54886,18420,FALSE,3052882033.0,122,22,2,AGAINST student loan forgiveness,0,Very important
33,34,usedgov,@usedgov I applied for student loan forgiveness on October 15. I still haven't received an email telling me whether or not I've been approved.,1.59794199213024E+18,3,0,Wed Nov 30 13:13:53 +0000 2022,39352523.0,,20437286,usedgov,Wed,Nov 30,13:13:53,2022,2022-11-30,1.59794199213024E+18,Mon May 11 21:54:15 +0000 2009,meep morp,"Charlotte, NC",321,BroRo117,8577,39724,FALSE,39352523.0,142,26,0,FOR student loan forgiveness,1,Somewhat important
34,35,cnn,@CNN Cnn is racist thats all they talk about is how racist everybody is that is what racist do all my black white mexican and asian freinds think its all bullshit if biden would not have lied about student loans being paid off we would of hade the red wave hes lucky kids are gulable,1.59800789230454E+18,0,0,Wed Nov 30 17:35:45 +0000 2022,1.52078165576566E+18,1.59717598438165E+18,759251,CNN,Wed,Nov 30,17:35:45,2022,2022-11-30,1.59800789230454E+18,Sun May 01 15:06:40 +0000 2022,Rebel with a mission,,15,SteveT72173388,85,559,FALSE,1.52078165576566E+18,283,55,0,FOR student loan forgiveness,0,Very important
35,36,foxnews,@FoxNews Meanwhile senior citizens are starving   Veterans in living a cardboard boxes.   And young people who paid off all their student loans are getting shafted,1.59803234318041E+18,1,0,Wed Nov 30 19:12:55 +0000 2022,1.57046632906451E+18,1.59797122995207E+18,1367531,FoxNews,Wed,Nov 30,19:12:55,2022,2022-11-30,1.59803234318041E+18,Thu Sep 15 17:35:40 +0000 2022,,,13,oldtruck1976,1932,96,FALSE,1.57046632906451E+18,163,25,2,AGAINST student loan forgiveness,1,Somewhat important
36,37,foxnews,@FoxNews But guns...but gay marriages...but student loans...but UK...but but but...,1.59805232456783E+18,1,0,Wed Nov 30 20:32:19 +0000 2022,1.56217272554371E+18,1.59804423510157E+18,1367531,FoxNews,Wed,Nov 30,20:32:19,2022,2022-11-30,1.59805232456783E+18,Tue Aug 23 20:19:55 +0000 2022,Gambling...crypto...politics...registered GOP/Reagan Conservative...only one team matters...Redskin potatoes...HTTR...HTTC...,God's Green Earth,67,RolexGambler,6886,2799,FALSE,1.56217272554371E+18,83,14,0,FOR student loan forgiveness,1,Somewhat important
37,38,foxnews,"@FoxNews Yeah, Biden, promising to drop student loans isn’t classified as “buying votes?”",1.59816489966621E+18,1,0,Thu Dec 01 03:59:39 +0000 2022,7.41984407578247E+17,1.59816373579702E+18,1367531,FoxNews,Thu,Dec 01,03:59:39,2022,2022-12-01,1.59816489966621E+18,Sun Jun 12 13:24:03 +0000 2016,Government & Politics.,United States,542,voiceoreason702,29694,17320,FALSE,7.41984407578247E+17,89,14,1,NEUTRAL support,1,Somewhat important
38,39,foxnews,@FoxNews Democrats! Same as paying off student loans tp buy votes!,1.59816527512354E+18,2,0,Thu Dec 01 04:01:08 +0000 2022,1.58646703087383E+18,1.59816373579702E+18,1367531,FoxNews,Thu,Dec 01,04:01:08,2022,2022-12-01,1.59816527512354E+18,Sat Oct 29 21:17:13 +0000 2022,,,29,HookerBirdy,219,4439,FALSE,1.58646703087383E+18,66,11,1,NEUTRAL support,0,Very important
39,40,foxnews,@FoxNews I wonder what the viewpoint would be if an examination of the recent student loan forgiveness effort were performed?,1.59816694015317E+18,1,0,Thu Dec 01 04:07:45 +0000 2022,2366233298.0,1.59816373579702E+18,1367531,FoxNews,Thu,Dec 01,04:07:45,2022,2022-12-01,1.59816694015317E+18,Fri Feb 28 23:42:44 +0000 2014,"Husband, Father, Facilities Electrical Engineer, Looking for new opportunities. Old enough to see ST Original Series when it wasn't a rerun.",,6,SeniorEEng,389,651,FALSE,2366233298.0,125,20,2,AGAINST student loan forgiveness,0,Very important
40,41,foxnews,@FoxNews Shouldn't Biden get the same for the student loan forgiveness?  That was basically buying young votes.,1.59818288474111E+18,1,0,Thu Dec 01 05:11:07 +0000 2022,36015448.0,1.59816373579702E+18,1367531,FoxNews,Thu,Dec 01,05:11:07,2022,2022-12-01,1.59818288474111E+18,Tue Apr 28 07:32:53 +0000 2009,,Illinois,81,Smyttii,889,470,FALSE,36015448.0,111,18,2,AGAINST student loan forgiveness,2,Not important at all
41,42,foxnews,@FoxNews Thank God I'm not paying for anyones student loan! Or they can pay for my car payment.,1.59820889323855E+18,27,1,Thu Dec 01 06:54:28 +0000 2022,1.51878262922658E+18,1.59820826403394E+18,1367531,FoxNews,Thu,Dec 01,06:54:28,2022,2022-12-01,1.59820889323855E+18,Tue Apr 26 02:43:46 +0000 2022,"Looking for like minded common sense peep tweets, anyone out there?😂😂🙄",,9,Shawnlm63,114,290,FALSE,1.51878262922658E+18,95,19,0,FOR student loan forgiveness,0,Very important
42,43,foxnews,@FoxNews And Republicans celebrate no student loan relief for teachers and nurses. Smh,1.5982125705778E+18,3,0,Thu Dec 01 07:09:04 +0000 2022,320187191.0,1.59820826403394E+18,1367531,FoxNews,Thu,Dec 01,07:09:04,2022,2022-12-01,1.5982125705778E+18,Sun Jun 19 13:25:40 +0000 2011,"Jesus is Lord! Happily married to my wife, Diane! Proud father of 3 great girls.","Ohio, USA",356,drew_mullen,10685,23908,FALSE,320187191.0,86,13,1,NEUTRAL support,1,Somewhat important
43,44,foxnews,@FoxNews I hate to be trite but... .🤣Pay off your own damned student loans just like the rest of us had to.,1.59821581573148E+18,3,0,Thu Dec 01 07:21:58 +0000 2022,1.5024659937041E+18,1.59820826403394E+18,1367531,FoxNews,Thu,Dec 01,07:21:58,2022,2022-12-01,1.59821581573148E+18,Sat Mar 12 02:06:45 +0000 2022,Sensible Constitutional Conservative,,2,Charles07788205,114,225,FALSE,1.5024659937041E+18,107,22,2,AGAINST student loan forgiveness,1,Somewhat important
44,45,foxnews,@FoxNews Wrong to make low income and blue collar workers pay off kids student loans because they didn’t want to work while going to college!!!! Get a damn job and pay your own debts!,1.59822106336811E+18,0,0,Thu Dec 01 07:42:49 +0000 2022,1.44831792952785E+18,1.59820826403394E+18,1367531,FoxNews,Thu,Dec 01,07:42:49,2022,2022-12-01,1.59822106336811E+18,Wed Oct 13 16:01:43 +0000 2021,,,2,ConservfrFreedm,180,501,FALSE,1.44831792952785E+18,183,35,0,FOR student loan forgiveness,0,Very important
45,46,foxnews,"@FoxNews Joe, you cannot spend money without Congress approval. Student loan is not a National Security issue. Have them get a job and pay their own billls like others had to do!",1.59827795922308E+18,5446,85,Thu Dec 01 11:28:54 +0000 2022,1.58748288298515E+18,1.59827072665358E+18,1367531,FoxNews,Thu,Dec 01,11:28:54,2022,2022-12-01,1.59827795922308E+18,Tue Nov 01 16:33:55 +0000 2022,,,62,RastelliSteve,615,1196,FALSE,1.58748288298515E+18,178,32,1,NEUTRAL support,0,Very important
46,47,foxnews,"@FoxNews If Joe Biden were being intellectually honest about his actions to cancel student debt he would name them ""The Burdening of People who didn't go to College with the Debt of those who did Act"". Biden's student debt forgiveness plan may cost taxpayers an average of $2,000, per CNBC",1.59827858016085E+18,1,0,Thu Dec 01 11:31:22 +0000 2022,1.11093684803198E+18,1.59820826403394E+18,1367531,FoxNews,Thu,Dec 01,11:31:22,2022,2022-12-01,1.59827858016085E+18,Wed Mar 27 16:09:19 +0000 2019,#IndyCar #Indy500 @MatthewNewgarden on Parler,,4170,a_newgarden,111338,37330,FALSE,1.11093684803198E+18,289,53,1,NEUTRAL support,1,Somewhat important
47,48,foxnews,@FoxNews Gimme my student loan forgiveness and I’ll consider you to be a half decent human being,1.59827869635147E+18,0,0,Thu Dec 01 11:31:50 +0000 2022,1591625725.0,1.5982002580556E+18,1367531,FoxNews,Thu,Dec 01,11:31:50,2022,2022-12-01,1.59827869635147E+18,Sat Jul 13 18:43:05 +0000 2013,⚫️🟡STEELERS 🏈OBVIOUSLY!! 🖥 Part Time Blogger. 📲DM for networking. 🤐Rants welcome. NOT 🚫 a voice actor,"Dallas, TX",1158,beanie099,12872,3482,FALSE,1591625725.0,96,18,0,FOR student loan forgiveness,1,Somewhat important
48,49,foxnews,"@FoxNews The student loan forgiveness program served its purpose, buying votes heading into the midterms.  Surely Biden knew it was illegal.",1.5982788246049E+18,1,0,Thu Dec 01 11:32:21 +0000 2022,1.58606376961194E+18,1.59827072665358E+18,1367531,FoxNews,Thu,Dec 01,11:32:21,2022,2022-12-01,1.5982788246049E+18,Fri Oct 28 18:34:36 +0000 2022,,"Vermont, USA",27,PassuPerry,1621,1052,FALSE,1.58606376961194E+18,140,21,1,NEUTRAL support,1,Somewhat important
49,50,foxnews,@FoxNews Democrats knew this was a bullshit ploy to get votes.   Biden doesn’t have the authority to cancel student loans.,1.59827924769272E+18,0,0,Thu Dec 01 11:34:01 +0000 2022,1.35273354558906E+18,1.59827072665358E+18,1367531,FoxNews,Thu,Dec 01,11:34:01,2022,2022-12-01,1.59827924769272E+18,Fri Jan 22 21:43:19 +0000 2021,,,171,Frank70050544,11824,50481,FALSE,1.35273354558906E+18,122,21,0,FOR student loan forgiveness,1,Somewhat important
